iterations,time,rewards,delta
10000,1.5578827857971191,0.0,0.0
20000,3.110947847366333,0.0,0.0
30000,4.790296792984009,0.0,0.0
40000,6.6122307777404785,0.0,0.0
50000,8.369686603546143,0.0,0.0
60000,10.095240831375122,0.0,0.0
70000,11.887836933135986,0.0,0.0
80000,13.67513394355774,0.0,0.0
90000,15.16550874710083,0.0,0.0
100000,16.942136764526367,0.0,0.0
110000,18.56372380256653,0.0,0.0
120000,20.356077671051025,0.0,0.0
130000,21.78248882293701,0.0,0.0
140000,23.280635833740234,0.0,0.0
150000,24.701369762420654,0.0,0.0
160000,26.212554931640625,0.0,0.0
170000,27.67607593536377,0.0,0.0
180000,29.306716918945312,0.0,0.0
190000,30.843166828155518,0.0,0.0
200000,32.341228008270264,0.0,0.0
210000,33.87232160568237,0.0,0.0
220000,35.446141958236694,0.0,0.0
230000,36.90879273414612,0.0,0.0
240000,38.38339304924011,0.0,0.0
250000,39.912699937820435,0.0,0.0
260000,41.449620962142944,0.0,0.0
270000,43.02792978286743,0.0,0.0
280000,44.773462772369385,0.0,0.0
290000,46.166865825653076,0.0,0.0
300000,47.72506761550903,0.0,0.0
310000,49.238842725753784,0.0,0.0
320000,50.75743079185486,0.0,0.0
330000,52.325416803359985,0.0,0.0
340000,53.883222579956055,0.0,0.0
350000,55.41733193397522,0.0,0.0
360000,56.92722773551941,0.0,0.0
370000,58.62097787857056,0.0,0.0
380000,60.16082978248596,0.0,0.0
390000,61.71927499771118,0.0,0.0
400000,63.256178855895996,0.0,0.0
410000,64.83205389976501,0.0,0.0
420000,66.36551785469055,0.0,0.0
430000,67.82913994789124,0.0,0.0
440000,69.26119565963745,0.0,0.0
450000,70.83313465118408,0.0,0.0
460000,72.48991775512695,0.0,0.0
470000,73.94757199287415,0.0,0.0
480000,75.5101706981659,0.0,0.0
490000,77.07794260978699,0.0,0.0
500000,78.72639179229736,0.0,0.0
510000,80.41733384132385,0.0,0.0
520000,81.96557688713074,0.0,0.0
530000,83.46742677688599,0.0,0.0
540000,84.9388177394867,0.0,0.0
550000,86.38880372047424,0.0,0.0
560000,87.87407684326172,0.0,0.0
570000,89.47467803955078,0.0,0.0
580000,91.00228786468506,0.0,0.0
590000,92.45636081695557,0.0,0.0
600000,93.94288778305054,0.0,0.0
610000,95.50235271453857,0.0,0.0
620000,97.19094777107239,0.0,0.0
630000,98.95020389556885,0.0,0.0
640000,100.64019894599915,0.0,0.0
650000,102.2552797794342,0.0,0.0
660000,103.82873964309692,0.0,0.0
670000,105.35789084434509,0.0,0.0
680000,106.92140698432922,0.0,0.0
690000,108.40218186378479,0.0,0.0
700000,110.10900688171387,0.0,0.0
710000,111.53360486030579,0.0,0.0
720000,113.21936082839966,0.0,0.0
730000,114.72500085830688,0.0,0.0
740000,116.29340887069702,0.0,0.0
750000,117.89254879951477,0.0,0.0
760000,119.42559385299683,0.0,0.0
770000,121.01380562782288,0.0,0.0
780000,122.52510166168213,0.0,0.0
790000,124.2520809173584,0.0,0.0
800000,125.80606579780579,0.0,0.0
810000,127.42186284065247,0.0,0.0
820000,129.0458047389984,0.0,0.0
830000,130.60013675689697,0.0,0.0
840000,132.40063881874084,0.0,0.0
850000,134.166907787323,0.0,0.0
860000,135.8408329486847,0.0,0.0
870000,137.34363079071045,0.0,0.0
880000,138.97514700889587,0.0,0.0
890000,140.76899099349976,0.0,0.0
900000,142.36662077903748,0.0,0.0
910000,143.94093680381775,0.0,0.0
920000,145.53600573539734,0.0,0.0
930000,147.01182675361633,0.0,0.0
940000,148.56023502349854,0.0,0.0
950000,150.3577699661255,0.0,0.0
960000,151.9888288974762,0.0,0.0
970000,153.6166217327118,0.0,0.0
980000,155.1823239326477,0.0,0.0
990000,156.8882918357849,0.0,0.0
1000000,158.49389958381653,0.0,0.0
