iterations,policies
500,[1. 3. 0. 0. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
1000,[0. 2. 1. 0. 0. 0. 2. 0. 3. 0. 0. 0. 0. 2. 3. 0.]
1500,[0. 3. 0. 1. 0. 0. 0. 0. 1. 1. 2. 0. 0. 2. 2. 0.]
2000,[3. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 2. 2. 0.]
2500,[0. 3. 1. 3. 1. 0. 0. 0. 3. 1. 0. 0. 0. 3. 2. 0.]
3000,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
3500,[3. 3. 3. 0. 0. 0. 1. 0. 3. 1. 1. 0. 0. 2. 2. 0.]
4000,[0. 3. 1. 3. 0. 0. 0. 0. 2. 1. 0. 0. 0. 2. 1. 0.]
4500,[1. 0. 3. 2. 0. 0. 0. 0. 3. 1. 0. 0. 0. 0. 2. 0.]
5000,[1. 3. 0. 3. 0. 0. 2. 0. 2. 2. 0. 0. 0. 2. 2. 0.]
5500,[3. 0. 2. 3. 0. 0. 2. 0. 0. 1. 0. 0. 0. 2. 2. 0.]
6000,[2. 3. 3. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
6500,[0. 3. 3. 3. 0. 0. 0. 0. 0. 1. 0. 0. 0. 2. 3. 0.]
7000,[0. 3. 2. 3. 0. 0. 2. 0. 3. 1. 1. 0. 0. 2. 1. 0.]
7500,[0. 3. 0. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
8000,[0. 3. 3. 3. 0. 0. 2. 0. 0. 2. 0. 0. 0. 2. 1. 0.]
8500,[3. 3. 0. 3. 0. 0. 2. 0. 2. 1. 2. 0. 0. 2. 2. 0.]
9000,[0. 3. 1. 3. 0. 0. 0. 0. 3. 1. 0. 0. 0. 2. 2. 0.]
9500,[1. 3. 2. 3. 0. 0. 2. 0. 3. 0. 0. 0. 0. 2. 1. 0.]
10000,[2. 3. 2. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
10500,[1. 3. 0. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
11000,[0. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
11500,[1. 3. 3. 3. 0. 0. 2. 0. 3. 1. 0. 0. 0. 2. 1. 0.]
