iterations,values
500,[0.50705606 0.4836945  0.53221253 0.52452611 0.54723797 0. 0.5367023  0.         0.50199605 0.71038552 0.52759524 0. 0.         0.75317798 0.98507272 0.        ]
1000,[0.49575863 0.45279233 0.37498289 0.53609739 0.63950243 0. 0.40224314 0.         0.6828994  0.71984603 0.69783804 0. 0.         0.77465672 0.77080738 0.        ]
1500,[0.41083819 0.36078308 0.56731075 0.30800058 0.39307085 0. 0.69217462 0.         0.59546503 0.62936583 0.66163164 0. 0.         0.71839538 0.72855143 0.        ]
2000,[0.36886263 0.39046205 0.40680784 0.42413526 0.36813559 0. 0.50109762 0.         0.60232378 0.85989549 0.61581187 0. 0.         0.86060571 0.89011709 0.        ]
2500,[0.38758661 0.36104209 0.38558632 0.40687409 0.40639007 0. 0.34929105 0.         0.41287363 0.57297537 0.59335775 0. 0.         0.61674596 0.70225606 0.        ]
3000,[0.53521787 0.53464928 0.6471997  0.51831829 0.54986019 0. 0.62404293 0.         0.52828961 0.68928919 0.92577525 0. 0.         0.84779671 0.99864313 0.        ]
3500,[0.47513447 0.34259534 0.26594636 0.32878551 0.49812823 0. 0.0291417  0.         0.69842098 0.76828287 0.50994887 0. 0.         0.73798656 0.87539884 0.        ]
4000,[0.4652293  0.42269315 0.46664696 0.37837406 0.4749643  0. 0.50863755 0.         0.46892229 0.57694409 0.71364542 0. 0.         0.57009876 0.96684611 0.        ]
4500,[0.31538218 0.33261282 0.35181387 0.32191462 0.2442263  0. 0.51383596 0.         0.50323305 0.55777003 0.58517434 0. 0.         0.61197464 0.8121496  0.        ]
5000,[0.61457628 0.4989057  0.53396912 0.6031294  0.57898341 0. 0.49774849 0.         0.54234505 0.81310813 0.48285371 0. 0.         0.9394514  0.99988752 0.        ]
5500,[0.67022326 0.67287667 0.72165974 0.36088494 0.7219958  0. 0.71375103 0.         0.45253674 0.72142108 0.74921227 0. 0.         0.70649963 0.98511118 0.        ]
6000,[0.58398569 0.62380513 0.51756096 0.41497668 0.48783841 0. 0.52013793 0.         0.80567174 0.81940058 0.82604588 0. 0.         0.81587463 0.93342926 0.        ]
6500,[0.61471995 0.57012316 0.64634783 0.23661373 0.43961015 0. 0.77396933 0.         0.48475053 0.6589667  0.70773572 0. 0.         0.67773251 0.97784485 0.        ]
7000,[0.34767163 0.33999716 0.52740062 0.33945018 0.3339606  0. 0.05773746 0.         0.49756497 0.52397967 0.9065246  0. 0.         0.89402136 0.99812812 0.        ]
7500,[0.45675797 0.46116817 0.44234761 0.44169373 0.46050604 0. 0.01383193 0.         0.78773603 0.68903853 0.71917237 0. 0.         0.91254507 0.96627229 0.        ]
