iterations,time,rewards,delta
500,0.9160979999999984,0.0,0.0
1000,1.276074999999998,0.0,0.0
1500,1.5060129999999938,0.0,0.0
2000,1.719230999999996,0.0,0.0
2500,1.9123170000000005,0.0,0.0
3000,2.1436609999999914,0.0,0.0
3500,2.330189999999992,0.0,0.0
4000,2.5329049999999875,0.0,0.0
4500,2.7139229999999857,0.0,0.0
5000,2.9114569999999786,0.0,0.0
5500,3.1013239999999818,0.0,0.0
6000,3.2979529999999713,0.0,0.0
6500,3.4809749999999644,0.0,0.0
7000,3.6834189999999474,0.0,0.0
7500,3.8586119999999564,0.0,0.0
8000,4.053929999999939,0.0,0.0
8500,4.247468999999933,0.0,0.0
9000,4.451217999999932,0.0,0.0
9500,4.631110999999914,0.0,0.0
10000,4.82800199999991,0.0,0.0
10500,5.022408999999932,0.0,0.0
11000,5.228039999999937,0.0,0.0
11500,5.41289199999994,0.0,0.0
12000,5.600371999999934,0.0,0.0
12500,5.785330999999927,0.0,0.0
13000,5.981503999999923,0.0,0.0
13500,6.1695609999998995,0.0,0.0
14000,6.363966999999917,0.0,0.0
14500,6.55673199999992,0.0,0.0
15000,6.756054999999915,0.0,0.0
15500,6.940163999999899,0.0,0.0
16000,7.1355269999998825,0.0,0.0
16500,7.325181999999906,0.0,0.0
17000,7.5217739999998905,0.0,0.0
17500,7.7194229999999,0.0,0.0
18000,7.9172049999999015,0.0,0.0
18500,8.094255999999906,0.0,0.0
19000,8.308001999999938,0.0,0.0
19500,8.49562099999996,0.0,0.0
20000,8.690802999999981,0.0,0.0
20500,8.873792999999976,0.0,0.0
21000,9.073060999999992,0.0,0.0
21500,9.267373999999995,0.0,0.0
22000,9.476973000000024,0.0,0.0
22500,9.672092000000001,0.0,0.0
23000,9.879220000000009,0.0,0.0
23500,10.064346000000008,0.0,0.0
24000,10.267184999999996,0.0,0.0
24500,10.455018999999979,0.0,0.0
25000,10.661258999999971,0.0,0.0
25500,10.854841999999978,0.0,0.0
26000,11.053154999999972,0.0,0.0
26500,11.256955999999965,0.0,0.0
27000,11.44881999999997,0.0,0.0
27500,11.643962999999976,0.0,0.0
28000,11.824977999999943,0.0,0.0
28500,12.024015999999948,0.0,0.0
29000,12.196122999999943,0.0,0.0
29500,12.394805999999944,0.0,0.0
30000,12.598884999999923,0.0,0.0
30500,12.788504999999919,0.0,0.0
31000,12.977546999999937,0.0,0.0
31500,13.16074899999993,0.0,0.0
32000,13.36342199999992,0.0,0.0
32500,13.549130999999932,0.0,0.0
33000,13.757822999999943,0.0,0.0
33500,13.942506999999942,0.0,0.0
34000,14.140424999999933,0.0,0.0
34500,14.334858999999938,0.0,0.0
35000,14.527013999999948,0.0,0.0
35500,14.713378999999971,0.0,0.0
36000,14.922973999999957,0.0,0.0
36500,15.106969000000007,0.0,0.0
37000,15.310343000000035,0.0,0.0
37500,15.497748000000051,0.0,0.0
38000,15.703712000000039,0.0,0.0
38500,15.885108000000102,0.0,0.0
39000,16.078235000000113,0.0,0.0
39500,16.276469000000056,0.0,0.0
40000,16.485825000000084,0.0,0.0
40002,16.486878000000083,0.0,0.0
