iterations,q_table
500,"[[3.10753070e-01 5.20873814e-03 3.09370703e-02 8.25741085e-03]
 [1.63799096e-03 8.90686927e-04 9.56826464e-05 8.65750496e-03]
 [4.27059858e-04 6.12427547e-04 1.59020508e-03 9.00175392e-03]
 [2.74683890e-03 1.05213372e-03 2.07199639e-03 3.99151897e-03]
 [1.85517994e-01 2.28073231e-03 3.38403542e-02 3.63434203e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.54720987e-09 5.64579738e-22 1.01677644e-03 1.68392956e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [5.14858365e-04 4.03755012e-04 2.80944203e-03 5.98317568e-01]
 [7.33990539e-05 7.28966089e-01 5.57944463e-05 6.43139384e-04]
 [7.82095798e-02 1.24214931e-05 9.26000150e-06 2.17522595e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [7.62044396e-05 7.66779816e-02 7.25479233e-01 5.55359467e-04]
 [1.15345697e-01 8.85535649e-01 1.18194690e-02 1.02779405e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
1000,"[[3.10753070e-01 5.20873814e-03 3.09370703e-02 8.25741085e-03]
 [1.63799096e-03 8.90686927e-04 9.56826464e-05 8.65750496e-03]
 [4.27059858e-04 6.12427547e-04 1.59020508e-03 9.00175392e-03]
 [2.74683890e-03 1.05213372e-03 2.07199639e-03 3.99151897e-03]
 [1.85517994e-01 2.28073231e-03 3.38403542e-02 3.63434203e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.54720987e-09 5.64579738e-22 1.01677644e-03 1.68392956e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [5.14858365e-04 4.03755012e-04 2.80944203e-03 5.98317568e-01]
 [7.33990539e-05 7.28966089e-01 5.57944463e-05 6.43139384e-04]
 [7.82095798e-02 1.24214931e-05 9.26000150e-06 2.17522595e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [7.62044396e-05 7.66779816e-02 7.25479233e-01 5.55359467e-04]
 [1.15345697e-01 8.85535649e-01 1.18194690e-02 1.02779405e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
1500,"[[3.10753070e-01 5.20873814e-03 3.09370703e-02 8.25741085e-03]
 [1.63799096e-03 8.90686927e-04 9.56826464e-05 8.65750496e-03]
 [4.27059858e-04 6.12427547e-04 1.59020508e-03 9.00175392e-03]
 [2.74683890e-03 1.05213372e-03 2.07199639e-03 3.99151897e-03]
 [1.85517994e-01 2.28073231e-03 3.38403542e-02 3.63434203e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.54720987e-09 5.64579738e-22 1.01677644e-03 1.68392956e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [5.14858365e-04 4.03755012e-04 2.80944203e-03 5.98317568e-01]
 [7.33990539e-05 7.28966089e-01 5.57944463e-05 6.43139384e-04]
 [7.82095798e-02 1.24214931e-05 9.26000150e-06 2.17522595e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [7.62044396e-05 7.66779816e-02 7.25479233e-01 5.55359467e-04]
 [1.15345697e-01 8.85535649e-01 1.18194690e-02 1.02779405e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
2000,"[[3.10753070e-01 5.20873814e-03 3.09370703e-02 8.25741085e-03]
 [1.63799096e-03 8.90686927e-04 9.56826464e-05 8.65750496e-03]
 [4.27059858e-04 6.12427547e-04 1.59020508e-03 9.00175392e-03]
 [2.74683890e-03 1.05213372e-03 2.07199639e-03 3.99151897e-03]
 [1.85517994e-01 2.28073231e-03 3.38403542e-02 3.63434203e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.54720987e-09 5.64579738e-22 1.01677644e-03 1.68392956e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [5.14858365e-04 4.03755012e-04 2.80944203e-03 5.98317568e-01]
 [7.33990539e-05 7.28966089e-01 5.57944463e-05 6.43139384e-04]
 [7.82095798e-02 1.24214931e-05 9.26000150e-06 2.17522595e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [7.62044396e-05 7.66779816e-02 7.25479233e-01 5.55359467e-04]
 [1.15345697e-01 8.85535649e-01 1.18194690e-02 1.02779405e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
2500,"[[3.10753070e-01 5.20873814e-03 3.09370703e-02 8.25741085e-03]
 [1.63799096e-03 8.90686927e-04 9.56826464e-05 8.65750496e-03]
 [4.27059858e-04 6.12427547e-04 1.59020508e-03 9.00175392e-03]
 [2.74683890e-03 1.05213372e-03 2.07199639e-03 3.99151897e-03]
 [1.85517994e-01 2.28073231e-03 3.38403542e-02 3.63434203e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.54720987e-09 5.64579738e-22 1.01677644e-03 1.68392956e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [5.14858365e-04 4.03755012e-04 2.80944203e-03 5.98317568e-01]
 [7.33990539e-05 7.28966089e-01 5.57944463e-05 6.43139384e-04]
 [7.82095798e-02 1.24214931e-05 9.26000150e-06 2.17522595e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [7.62044396e-05 7.66779816e-02 7.25479233e-01 5.55359467e-04]
 [1.15345697e-01 8.85535649e-01 1.18194690e-02 1.02779405e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
3000,"[[3.10753070e-01 5.20873814e-03 3.09370703e-02 8.25741085e-03]
 [1.63799096e-03 8.90686927e-04 9.56826464e-05 8.65750496e-03]
 [4.27059858e-04 6.12427547e-04 1.59020508e-03 9.00175392e-03]
 [2.74683890e-03 1.05213372e-03 2.07199639e-03 3.99151897e-03]
 [1.85517994e-01 2.28073231e-03 3.38403542e-02 3.63434203e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.54720987e-09 5.64579738e-22 1.01677644e-03 1.68392956e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [5.14858365e-04 4.03755012e-04 2.80944203e-03 5.98317568e-01]
 [7.33990539e-05 7.28966089e-01 5.57944463e-05 6.43139384e-04]
 [7.82095798e-02 1.24214931e-05 9.26000150e-06 2.17522595e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [7.62044396e-05 7.66779816e-02 7.25479233e-01 5.55359467e-04]
 [1.15345697e-01 8.85535649e-01 1.18194690e-02 1.02779405e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
3500,"[[3.10753070e-01 5.20873814e-03 3.09370703e-02 8.25741085e-03]
 [1.63799096e-03 8.90686927e-04 9.56826464e-05 8.65750496e-03]
 [4.27059858e-04 6.12427547e-04 1.59020508e-03 9.00175392e-03]
 [2.74683890e-03 1.05213372e-03 2.07199639e-03 3.99151897e-03]
 [1.85517994e-01 2.28073231e-03 3.38403542e-02 3.63434203e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.54720987e-09 5.64579738e-22 1.01677644e-03 1.68392956e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [5.14858365e-04 4.03755012e-04 2.80944203e-03 5.98317568e-01]
 [7.33990539e-05 7.28966089e-01 5.57944463e-05 6.43139384e-04]
 [7.82095798e-02 1.24214931e-05 9.26000150e-06 2.17522595e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [7.62044396e-05 7.66779816e-02 7.25479233e-01 5.55359467e-04]
 [1.15345697e-01 8.85535649e-01 1.18194690e-02 1.02779405e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
4000,"[[3.10753070e-01 5.20873814e-03 3.09370703e-02 8.25741085e-03]
 [1.63799096e-03 8.90686927e-04 9.56826464e-05 8.65750496e-03]
 [4.27059858e-04 6.12427547e-04 1.59020508e-03 9.00175392e-03]
 [2.74683890e-03 1.05213372e-03 2.07199639e-03 3.99151897e-03]
 [1.85517994e-01 2.28073231e-03 3.38403542e-02 3.63434203e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.54720987e-09 5.64579738e-22 1.01677644e-03 1.68392956e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [5.14858365e-04 4.03755012e-04 2.80944203e-03 5.98317568e-01]
 [7.33990539e-05 7.28966089e-01 5.57944463e-05 6.43139384e-04]
 [7.82095798e-02 1.24214931e-05 9.26000150e-06 2.17522595e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [7.62044396e-05 7.66779816e-02 7.25479233e-01 5.55359467e-04]
 [1.15345697e-01 8.85535649e-01 1.18194690e-02 1.02779405e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
4500,"[[3.10753070e-01 5.20873814e-03 3.09370703e-02 8.25741085e-03]
 [1.63799096e-03 8.90686927e-04 9.56826464e-05 8.65750496e-03]
 [4.27059858e-04 6.12427547e-04 1.59020508e-03 9.00175392e-03]
 [2.74683890e-03 1.05213372e-03 2.07199639e-03 3.99151897e-03]
 [1.85517994e-01 2.28073231e-03 3.38403542e-02 3.63434203e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.54720987e-09 5.64579738e-22 1.01677644e-03 1.68392956e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [5.14858365e-04 4.03755012e-04 2.80944203e-03 5.98317568e-01]
 [7.33990539e-05 7.28966089e-01 5.57944463e-05 6.43139384e-04]
 [7.82095798e-02 1.24214931e-05 9.26000150e-06 2.17522595e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [7.62044396e-05 7.66779816e-02 7.25479233e-01 5.55359467e-04]
 [1.15345697e-01 8.85535649e-01 1.18194690e-02 1.02779405e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
5000,"[[3.10753070e-01 5.20873814e-03 3.09370703e-02 8.25741085e-03]
 [1.63799096e-03 8.90686927e-04 9.56826464e-05 8.65750496e-03]
 [4.27059858e-04 6.12427547e-04 1.59020508e-03 9.00175392e-03]
 [2.74683890e-03 1.05213372e-03 2.07199639e-03 3.99151897e-03]
 [1.85517994e-01 2.28073231e-03 3.38403542e-02 3.63434203e-03]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [1.54720987e-09 5.64579738e-22 1.01677644e-03 1.68392956e-08]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [5.14858365e-04 4.03755012e-04 2.80944203e-03 5.98317568e-01]
 [7.33990539e-05 7.28966089e-01 5.57944463e-05 6.43139384e-04]
 [7.82095798e-02 1.24214931e-05 9.26000150e-06 2.17522595e-05]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]
 [7.62044396e-05 7.66779816e-02 7.25479233e-01 5.55359467e-04]
 [1.15345697e-01 8.85535649e-01 1.18194690e-02 1.02779405e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00]]"
