iterations,values
500,[0.52094357 0.4936854  0.47404049 0.35935975 0.57362101 0. 0.58281042 0.         0.75116411 0.84458307 0.94354399 0. 0.         0.80588834 0.99781365 0.        ]
1000,[0.41928022 0.17181629 0.18063476 0.16332013 0.44822645 0. 0.02993805 0.         0.74048418 0.85306918 0.94140131 0. 0.         0.88863276 0.99954469 0.        ]
1500,[0.06244718 0.05939705 0.0427235  0.04695221 0.06108879 0. 0.07897395 0.         0.10217917 0.11398161 0.70066687 0. 0.         0.46383139 0.93398747 0.        ]
2000,[0.26019497 0.45195769 0.2508526  0.00963001 0.29936638 0. 0.06306092 0.         0.59410018 0.54778079 0.14033275 0. 0.         0.90594089 0.99424153 0.        ]
2500,[0.1573455  0.325917   0.18052918 0.01086909 0.06732033 0. 0.03023808 0.         0.13290433 0.604226   0.12211425 0. 0.         0.85348056 0.91338544 0.        ]
3000,[0.16124879 0.05625908 0.02057095 0.12021944 0.09280411 0. 0.30995796 0.         0.12189582 0.11627981 0.85366331 0. 0.         0.22379838 0.92475733 0.        ]
3500,[0.27720861 0.23288439 0.18638502 0.02827425 0.46246371 0. 0.00470631 0.         0.20236024 0.68007041 0.00787811 0. 0.         0.21422705 0.916407   0.        ]
4000,[1.20238755e-02 1.11081814e-02 6.23931859e-03 3.24926632e-03 4.01790867e-02 0.00000000e+00 5.83881635e-04 0.00000000e+00 1.26133191e-01 2.14411131e-02 1.28306926e-01 0.00000000e+00 0.00000000e+00 1.51943062e-01 7.61773393e-01 0.00000000e+00]
4500,[0.02483025 0.03020827 0.00779071 0.01471387 0.0294678  0. 0.00452442 0.         0.01173062 0.67068432 0.0693893  0. 0.         0.77513802 0.982003   0.        ]
5000,[0.16493559 0.03495641 0.0497106  0.03394998 0.3161157  0. 0.01159454 0.         0.49501231 0.51637786 0.90050572 0. 0.         0.8239962  0.98594129 0.        ]
5500,[0.35680779 0.11046543 0.02466112 0.00721528 0.26874436 0. 0.01510363 0.         0.54132137 0.7697231  0.76393415 0. 0.         0.91517042 0.98916873 0.        ]
6000,[1.53670964e-01 3.86485877e-02 2.35303250e-02 1.15367728e-02 1.87715414e-01 0.00000000e+00 6.38114588e-08 0.00000000e+00 4.21580701e-01 6.23839946e-02 1.49996465e-03 0.00000000e+00 0.00000000e+00 6.87459652e-01 9.68441441e-01 0.00000000e+00]
6500,[0.44953275 0.30862208 0.04441065 0.01729    0.49525706 0. 0.00141711 0.         0.55353035 0.69478999 0.65954023 0. 0.         0.19337061 0.9684246  0.        ]
7000,[0.44922802 0.04256151 0.01579713 0.01012048 0.65650508 0. 0.00840896 0.         0.6464765  0.74584381 0.73544731 0. 0.         0.19376382 0.32917891 0.        ]
7500,[0.02421156 0.03105648 0.02796052 0.01597697 0.0075037  0. 0.10453371 0.         0.67288249 0.07860821 0.57494481 0. 0.         0.48964917 0.95718682 0.        ]
8000,[0.02986792 0.00509731 0.06280722 0.00493346 0.04971542 0. 0.00728682 0.         0.0776258  0.78590828 0.30156469 0. 0.         0.94065578 0.99973725 0.        ]
8500,[0.09211703 0.04870727 0.00946437 0.02573223 0.09176665 0. 0.01083748 0.         0.04906275 0.00787867 0.8539457  0. 0.         0.90919881 0.99730302 0.        ]
9000,[0.30575417 0.26436582 0.1679235  0.01451652 0.16066752 0. 0.03264837 0.         0.38762999 0.71483627 0.84518542 0. 0.         0.92218558 0.99953769 0.        ]
9500,[0.44959081 0.1924806  0.06421425 0.04686031 0.35798939 0. 0.0211757  0.         0.59663096 0.22595201 0.59872171 0. 0.         0.31079183 0.93420581 0.        ]
10000,[1.58805415e-01 7.57841526e-02 1.98954549e-02 8.79003331e-03 2.99032479e-01 0.00000000e+00 5.99626283e-04 0.00000000e+00 3.31774229e-01 9.17364259e-02 6.65932595e-02 0.00000000e+00 0.00000000e+00 2.43580848e-01 9.27776090e-01 0.00000000e+00]
10500,[0.16032631 0.23354489 0.17197443 0.0137306  0.12610372 0. 0.00829356 0.         0.53290865 0.05773599 0.07686091 0. 0.         0.90716764 0.99795539 0.        ]
11000,[0.25101448 0.20410723 0.05021964 0.01415596 0.20066166 0. 0.02181978 0.         0.18126766 0.72454054 0.01806701 0. 0.         0.85291521 0.98494006 0.        ]
11500,[0.47166181 0.11281041 0.08489735 0.02517303 0.24457376 0. 0.12504251 0.         0.41286725 0.47242129 0.54830047 0. 0.         0.75731639 0.96884689 0.        ]
12000,[1.25374362e-02 9.71481687e-04 9.78030950e-04 4.54701518e-02 5.78502369e-02 0.00000000e+00 8.59474758e-05 0.00000000e+00 1.32392661e-02 6.72994897e-01 7.02574502e-02 0.00000000e+00 0.00000000e+00 6.98070663e-01 9.69724288e-01 0.00000000e+00]
12500,[9.66035831e-02 6.93563800e-02 4.79282211e-02 1.24507904e-02 1.49408386e-01 0.00000000e+00 6.61853027e-04 0.00000000e+00 4.67141496e-01 7.84931911e-01 6.00760982e-01 0.00000000e+00 0.00000000e+00 2.07038581e-01 9.21583145e-01 0.00000000e+00]
13000,[0.08270463 0.03728115 0.01243223 0.01105025 0.32541    0. 0.00331043 0.         0.07545356 0.05323862 0.00839215 0. 0.         0.54481882 0.86452315 0.        ]
13500,[1.05657834e-01 6.84926706e-02 7.03617257e-03 7.22272280e-03 1.03959087e-01 0.00000000e+00 4.80809406e-04 0.00000000e+00 7.14068152e-02 7.89730878e-02 1.14914409e-02 0.00000000e+00 0.00000000e+00 6.70675693e-02 9.06905728e-01 0.00000000e+00]
14000,[0.36661863 0.04802375 0.0642399  0.01003113 0.42198448 0. 0.071167   0.         0.33614347 0.6612405  0.63916323 0. 0.         0.70738163 0.97379147 0.        ]
14500,[0.01167059 0.02826017 0.00689986 0.00236515 0.01245169 0. 0.75150271 0.         0.01901112 0.00590836 0.13836041 0. 0.         0.53892762 0.37912057 0.        ]
15000,[0.30355726 0.05557305 0.00852864 0.00457363 0.51712694 0. 0.0131226  0.         0.68685262 0.78430888 0.07778712 0. 0.         0.92075186 0.98935483 0.        ]
15500,[0.2380318  0.07258081 0.11672127 0.02120276 0.13287269 0. 0.001218   0.         0.36771813 0.79257865 0.60685716 0. 0.         0.86275183 0.97835476 0.        ]
16000,[0.18982632 0.26394816 0.27505951 0.06160717 0.31376814 0. 0.03814292 0.         0.5631413  0.56410781 0.40102349 0. 0.         0.32123531 0.72113362 0.        ]
16500,[0.52400463 0.18327234 0.03840743 0.01771327 0.66419965 0. 0.0301644  0.         0.19978518 0.66856334 0.92152522 0. 0.         0.76153519 0.99884096 0.        ]
17000,[7.38986539e-02 1.52596028e-02 4.56331329e-03 9.96226332e-02 7.35787167e-02 0.00000000e+00 6.00773192e-05 0.00000000e+00 1.98086899e-02 7.81678569e-01 4.13575211e-01 0.00000000e+00 0.00000000e+00 7.50397428e-01 9.77100326e-01 0.00000000e+00]
