iterations,time,rewards,delta
1,6.604194641113281e-05,1.0,1.0
2,0.0001671314239501953,1.2666666666666666,0.26666666666666666
3,0.00023603439331054688,1.4088888888888889,0.14222222222222225
4,0.00029206275939941406,1.4847407407407407,0.11377777777777787
5,0.0003540515899658203,1.5353086419753086,0.06573827160493831
6,0.000408172607421875,1.566323621399177,0.04854518518518525
7,0.0004611015319824219,1.5875396652949245,0.030565486968449906
8,0.0005130767822265625,1.6013480735253771,0.02195920475537272
9,0.0005629062652587891,1.6108861036549307,0.014805682158207656
10,0.000614166259765625,1.6173163895617537,0.010378467815678416
11,0.0006861686706542969,1.6217987238877543,0.007448130385110718
12,0.0007371902465820312,1.6248943530790658,0.005316490985830313
13,0.0007870197296142578,1.6270750001418177,0.003995999536303391
14,0.0008361339569091797,1.6286090391444694,0.003044733633680019
15,0.000885009765625,1.6297020017047599,0.0022996240492369757
