iterations,time,rewards,delta
50000,1.882033109664917,0.0,1.9639788400485166e-08
100000,3.5930898189544678,0.0,3.826477730799377e-05
150000,5.295488119125366,1.0,0.00959789736226715
200000,7.024097919464111,0.0,0.00870236449127462
250000,8.702961921691895,1.0,0.009738221214171368
300000,10.337427139282227,0.0,3.4933295338215586e-05
350000,12.006873846054077,0.0,1.537748654379602e-05
400000,13.662444114685059,0.0,5.235928220044834e-07
450000,15.335280895233154,0.0,8.082271397395788e-06
500000,16.997610092163086,0.0,0.00016303003623694277
550000,18.614025115966797,1.0,0.009715716825655519
600000,20.250993967056274,1.0,0.009744906560040156
650000,21.877583980560303,0.0,0.00020139953971590405
700000,23.496769905090332,1.0,0.009595210578400383
750000,25.097264051437378,1.0,0.00948335024658831
800000,26.72771692276001,0.0,0.00031730815888522863
850000,28.34775400161743,0.0,0.008733406070804325
900000,29.973665237426758,1.0,0.00938827563353658
950000,31.570738077163696,0.0,0.00024543604932223334
1000000,33.16677689552307,1.0,0.0093693737546995
1050000,34.758605003356934,1.0,0.009486092175341063
1100000,36.390596866607666,1.0,0.00960715078690448
1150000,37.998291969299316,0.0,0.008749573425761454
1200000,39.61090397834778,1.0,0.00926892938409707
1250000,41.21638107299805,1.0,0.009102375110661249
1300000,42.82431387901306,1.0,0.00953025423344439
1350000,44.44655108451843,1.0,0.009239059979940118
1400000,46.068655014038086,1.0,0.009536031879021972
1450000,47.662211894989014,0.0,0.008716753666832106
1500000,49.25786304473877,1.0,0.009416717178697234
1550000,50.85618591308594,1.0,0.009456047455281478
1600000,52.471065044403076,0.0,0.0008250322129318412
1650000,54.078880071640015,1.0,0.009066899189289334
1700000,55.68802809715271,1.0,0.009437083283374418
1750000,57.27852511405945,1.0,0.008626891582862716
1800000,58.859029054641724,1.0,0.009443888875900135
1850000,60.45500206947327,0.0,8.655119104184167e-05
1900000,62.06537985801697,1.0,0.00897794960217457
1950000,63.705918073654175,0.0,0.0036043094653960593
2000000,65.35492491722107,1.0,0.009362367024267782
2050000,66.95410704612732,0.0,0.0023275888664654057
2100000,68.54674696922302,1.0,0.009394749232033808
2150000,70.14069509506226,0.0,6.887165455275501e-05
2200000,71.75126004219055,0.0,0.00047283170047936077
2250000,73.35748100280762,1.0,0.009084764819121804
2300000,74.9824070930481,0.0,0.0012154202438949889
2350000,76.59062314033508,1.0,0.008746195707197603
2400000,78.21691703796387,0.0,0.000992662004466699
2450000,79.80898594856262,1.0,0.008817133960218998
2500000,81.40096998214722,0.0,0.00044301056178930266
2550000,82.98383712768555,0.0,3.3060128657284816e-05
2600000,84.56668090820312,1.0,0.008880639437222889
2650000,86.15198302268982,0.0,0.00035253325306475706
2700000,87.75213098526001,0.0,0.0012358047888104305
2750000,89.39528799057007,1.0,0.008874608099216443
2800000,91.01921224594116,1.0,0.00901989193155372
2850000,92.61754608154297,1.0,0.008709343942694863
2900000,94.20909714698792,0.0,0.008628075847807531
2950000,95.85814595222473,0.0,0.0012278467069679127
3000000,97.49302005767822,0.0,5.915559339946015e-05
3050000,99.11796998977661,1.0,0.008799431072907581
3100000,100.72455310821533,0.0,0.001264580042788696
3150000,102.31220412254333,1.0,0.008054934334086085
3200000,103.91055297851562,1.0,0.008474035796353434
3250000,105.5340051651001,1.0,0.008626319467490583
3300000,107.1538200378418,1.0,0.009107581730127462
3350000,108.76342511177063,0.0,0.0007214470745399759
3400000,110.34837317466736,0.0,0.0011184105324538586
3450000,111.94837999343872,1.0,0.008041960824324765
3500000,113.54208183288574,1.0,0.008486068331192018
3550000,115.16190385818481,0.0,2.1590149092888228e-05
3600000,116.75655794143677,1.0,0.008646485828601128
3650000,118.34246516227722,0.0,0.00010402986185581365
3700000,119.93132996559143,0.0,0.00015183024086974444
3750000,121.56590700149536,1.0,0.008915534244725371
3800000,123.18297004699707,1.0,0.008507659266970957
3850000,124.82608008384705,0.0,0.00151111432591431
3900000,126.49795699119568,0.0,0.008617929508306822
3950000,128.11675310134888,1.0,0.008702495868400112
4000000,129.7117578983307,1.0,0.008617388786389658
4050000,131.31604099273682,1.0,0.009573830353922744
4100000,132.94377303123474,0.0,0.0012573114496087787
4150000,134.56375408172607,0.0,0.00016869286639246067
4200000,136.17768621444702,0.0,0.001107193047838061
4250000,137.78862285614014,1.0,0.008972619307005322
4300000,139.4045000076294,1.0,0.00916783556187594
4350000,141.02694702148438,0.0,0.0013061454792347882
4400000,142.62563800811768,0.0,0.001811180506965414
4450000,144.21375799179077,0.0,0.0012911069379459405
4500000,145.81241703033447,1.0,0.008981409300795181
4550000,147.42192006111145,1.0,0.00879454191799074
4600000,149.03635907173157,1.0,0.008283637505572863
4650000,150.6496331691742,1.0,0.009676716396773862
4700000,152.25894403457642,1.0,0.00903904956151842
4750000,153.87308812141418,1.0,0.009025633750369312
4800000,155.50652813911438,1.0,4.004659771771557e-06
4850000,157.11790800094604,1.0,0.009022491278950684
4900000,158.7270200252533,1.0,0.006701439434344962
4950000,160.34658098220825,1.0,0.008785161709083044
5000000,161.9702250957489,1.0,0.007584182383182638
